name,M,est,phi_0,bias,var,se,coverage,oracle_coverage,time
dltmle,100,0.10876434735999999,0.09062200039625168,0.018142346963748307,0.0003636523806418138,0.1739616024817029,0.99,0.86,28.90850693
dltmle*,100,0.12256469202000002,0.09062200039625168,0.03194269162374834,0.0022343826055077685,0.19019936309180555,0.99,0.9,0.28043558999999996
dltmle†,100,0.10630636291999998,0.09062200039625168,0.015684362523748302,0.00023903640433659945,0.1653245455072277,0.99,0.81,0.3971090400000001
dltmle‡,100,0.10623885339000003,0.09062200039625168,0.015616852993748348,0.00023207541981160975,0.16545237269595586,0.99,0.82,0.27336662999999994
deepace,100,0.096165578051,0.09062200039625168,0.005543577654748319,0.0015489971590299377,0.6881572075859426,1.0,0.95,95.27421206999998
deepace*,100,0.09584836092,0.09062200039625168,0.005226360523748322,0.0002800622723132654,0.6742926295636057,1.0,0.91,0.58436065
ltmle (glm),100,0.11357679896438558,0.09062200039625168,0.0229547985681339,0.0001741046586342891,0.4341385013621048,1.0,0.63,7.198285853862762
ltmle (sl),100,0.10506364380027748,0.09062200039625168,0.014441643404025803,0.00013289604616498625,0.31088984835077976,1.0,0.79,270.76064998865127
