name,M,est,phi_0,bias,var,se,coverage,oracle_coverage,time
dltmle,100,0.007878628058000001,0.011241548,-0.0033629199419999995,6.207975922492775e-07,0.00045468070473374397,0.0,0.01,16.17560128
dltmle*,100,0.005548654787,0.011241548,-0.0056928932130000005,1.1598610981517883e-06,0.0006293502373151689,0.0,0.0,0.1505552
dltmle†,100,0.011344988295000002,0.011241548,0.00010344029500000164,7.088376488101561e-08,0.000298400343339119,0.97,0.92,0.30850740000000004
dltmle‡,100,0.011294917585000001,0.011241548,5.336958500000086e-05,6.908062686046492e-08,0.000298705652295722,0.97,0.97,0.21524698999999997
deepace,100,0.0124432306246,0.011241548,0.0012016826245999992,5.340809196236513e-05,0.0011371877209435432,0.18,0.94,32.83521512
deepace*,100,0.012499702538,0.011241548,0.0012581545379999996,2.8696510118535284e-05,0.000770194548427298,0.25,0.94,33.98456038
ltmle (glm),100,0.011207641336959173,0.011241548,-3.390666304082732e-05,4.854212932879209e-08,0.00023021028729238704,0.95,0.94,5.259737169742584
ltmle (sl),100,0.011217044004200235,0.011241548,-2.4503995799765935e-05,4.905432974136293e-08,0.000228068371548241,0.94,0.95,52.98233540058136
