name,M,est,phi_0,bias,var,se,coverage,oracle_coverage,time
dltmle,100,0.10728402960999998,0.102777399122715,0.004506630487284988,0.0007645610081768378,0.01946726045297805,0.82,0.95,45.211310909999995
dltmle*,100,0.10932417408999999,0.102777399122715,0.006546774967284993,0.00046353545662686864,0.01938709879810173,0.91,0.96,0.32330291999999994
dltmle†,100,0.10929285353,0.102777399122715,0.006515454407285001,0.0004649898421768198,0.019392645639642013,0.91,0.96,0.46125481999999995
dltmle‡,100,0.10869746772999997,0.102777399122715,0.005920068607284973,0.00047632724629341055,0.019399062994028157,0.91,0.94,0.32973382000000007
deepace,100,0.128811654291,0.102777399122715,0.026034255168285003,0.023593076087690488,0.06284058266434524,0.46,0.95,61.65961875000001
deepace*,100,0.1270096909501,0.102777399122715,0.02423229182738501,0.01566134591902514,0.027658801497652562,0.57,0.96,0.40830994000000004
ltmle (glm),100,0.10794792104332736,0.102777399122715,0.0051705219206123615,0.00038201311511231796,0.018107875718910146,0.95,0.91,4.5426610088348385
ltmle (sl),100,0.10837239238476098,0.102777399122715,0.005594993262045989,0.0003816473521088014,0.017363217309403232,0.91,0.92,61.165182900428775
