name,M,est,phi_0,bias,var,se,coverage,oracle_coverage,time
dltmle,100,0.3081949248,0.28251850605010986,0.02567641874989013,0.004379415047343105,0.036904220136204764,0.73,0.91,40.23129323999999
dltmle*,100,0.2834561919,0.28251850605010986,0.0009376858498901242,0.001205292054156363,0.03601128168360636,0.92,0.93,0.34210207
dltmle†,100,0.28492121879999993,0.28251850605010986,0.002402712749890068,0.0013140119847152392,0.03638356866644937,0.92,0.94,1.33241859
dltmle‡,100,0.28616827800000005,0.28251850605010986,0.0036497719498901904,0.0012840704232081174,0.036400941793300896,0.9,0.93,0.51082439
deepace,100,0.18493341524999998,0.28251850605010986,-0.09758509080010988,0.00565172904824561,0.04310203087428768,0.3,0.74,162.55624694
deepace*,100,0.20646665976000006,0.28251850605010986,-0.0760518462901098,0.0037461451425429295,0.03976831243355215,0.39,0.79,0.8861430700000001
ltmle (glm),100,0.28462295580716623,0.28251850605010986,0.0021044497570563703,0.0009468491989416012,0.031111758351687894,0.93,0.94,6.1483677077293395
ltmle (sl),100,0.2886616025964506,0.28251850605010986,0.0061430965463407095,0.000932527180162697,0.028422320805171254,0.91,0.93,287.9487222123146
