name,M,est,phi_0,bias,var,se,coverage,oracle_coverage,time
dltmle,100,0.2154754985,0.19789110124111176,0.017584397258888246,0.0007662717138047178,0.02595039444134504,0.87,0.91,29.22285289
dltmle*,100,0.20467662390000002,0.19789110124111176,0.0067855226588882656,0.0008238970133040118,0.02585299342082583,0.91,0.94,0.25577316000000005
dltmle†,100,0.20730763540000002,0.19789110124111176,0.009416534158888268,0.0008417469360263182,0.025854635726167637,0.91,0.93,0.70989413
dltmle‡,100,0.2084932169,0.19789110124111176,0.010602115658888245,0.0007649183281964963,0.025862988373397174,0.92,0.95,0.30373967
deepace,100,0.1917557942,0.19789110124111176,-0.006135307041111759,0.001409997287949665,0.04222695204011268,0.93,0.93,108.67427189000004
deepace*,100,0.19259574576000002,0.19789110124111176,-0.005295355481111735,0.0013011110327877339,0.03442432204728343,0.93,0.94,0.6401247499999999
ltmle (glm),100,0.2023892670932796,0.19789110124111176,0.004498165852167835,0.000696085497382694,0.02533989080854161,0.94,0.96,6.500397615432739
ltmle (sl),100,0.2036681407539068,0.19789110124111176,0.00577703951279504,0.0006593056989738889,0.023790301712831488,0.93,0.95,160.70385730743402
