name,M,est,phi_0,bias,var,se,coverage,oracle_coverage,time
dltmle,100,0.2004301859,0.17119309306144714,0.02923709283855286,0.00024744693497743864,0.09680494591884627,0.96,0.57,29.668868980000003
dltmle*,100,0.20394291320000002,0.17119309306144714,0.032749820138552876,0.000366867961466729,0.10139103215365998,0.97,0.65,0.31179731000000005
dltmle†,100,0.20211112369999998,0.17119309306144714,0.030918030638552835,0.00024534121590407207,0.08483695547307941,0.95,0.53,1.2962458000000001
dltmle‡,100,0.2018890022,0.17119309306144714,0.030695909138552857,0.0002377903755097123,0.08519032477625041,0.95,0.52,0.46207215999999995
deepace,100,0.150076512672,0.17119309306144714,-0.021116580389447137,0.0040666018301137715,0.7630478621855332,1.0,0.95,172.40918599000005
deepace*,100,0.15238561626000002,0.17119309306144714,-0.01880747680144712,0.0010083279602928655,0.7222459964678167,1.0,0.94,0.92293127
ltmle (glm),100,0.24778902711314388,0.17119309306144714,0.07659593405169673,0.00046155128240683055,0.6945654293318028,1.0,0.04,17.542964169979097
ltmle (sl),100,0.200874388952611,0.17119309306144714,0.02968129589116386,0.000300355372846627,0.40213766400647816,1.0,0.6,957.9888080501555
